month,avg_listing_price_normalized,normalized_APREF_2022
1,0.7006161582599661,0.0
2,0.4291911990968048,0.1944427292374189
3,0.3864351863265363,0.5013687352063394
4,0.3708619839895833,0.7159359884738088
5,0.0940447848431939,0.8871976947617577
6,0.0,0.9106823093547392
7,0.0735579617519576,1.0
8,0.0756050395600181,0.9525110630853144
9,0.2864162466195033,0.8830657610373572
10,0.6198553385444776,0.9882679839456624
11,0.2718715343009596,0.8825511989297108
12,1.0,0.974045487290316
