month,avg_listing_price_normalized,normalized_NPREF_2022
1,0.7006161582599661,0.0
2,0.4291911990968048,0.1671338992726952
3,0.3864351863265363,0.4545051588977642
4,0.3708619839895833,0.6710512269497292
5,0.0940447848431939,0.8232352299573457
6,0.0,0.8647640088557598
7,0.0735579617519576,1.0
8,0.0756050395600181,0.9547906039832352
9,0.2864162466195033,0.8386631887232946
10,0.6198553385444776,0.9619708242632964
11,0.2718715343009596,0.7999563709950662
12,1.0,0.9300729161348414
