city,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Amsterdam,0.03304383548776981,0.010415720287998977,0.018979731811662796,0.01694447706896975,0.014232778460526832,0.011415909109922424,0.04358933852003205,0.013620348067077095,0.06324529596736046,0.05989085948279976,0.02553229546838422,0.04675575626916807
Antwerp,0.03657350639154192,0.03898893705167828,0.05555650714989465,0.03692913714771987,0.03487627197305903,0.039193141299623105,0.05510598580241361,0.0588240444859297,0.0806978908952995,0.061781580131857514,0.04508197206528426,0.06331513540162317
Athens,0.018147530936592052,0.0069015558736602025,0.017522933193867322,0.006633650697275975,0.005953733460820236,0.012238907115517601,0.006135561433796501,0.008043639779870144,0.03408099684864351,0.007137947437255085,0.011919144414617338,0.0337984816286365
Barcelona,0.03969812617914899,0.10750962594644704,0.050870279567144336,0.02651921231914289,0.02567464982129125,0.02640812010947267,0.00752957239958868,0.024557525996730382,0.029232935000822188,0.025297094880438784,0.026490332909439394,0.09674826080653973
Bergamo,0.025775086268556367,0.008040861181945406,0.013921577260582005,0.01165384659363618,0.008131077515136767,0.00837244307321392,0.006522204919649425,0.005394647177154003,0.013061133786515657,0.011970715406558441,0.012838705499434468,0.04570950676930813
Berlin,0.028413434669967465,0.018968185806072645,0.01965025883454291,0.015033492474592824,0.025959362479819576,0.05077144699327655,0.045924435988207994,0.026297101074575786,0.04018738087171797,0.022340823628429537,0.017707640363252272,0.05556402241694307
Bologna,0.029979509435236664,0.015405311989818484,0.09077792433174972,0.038234722694851606,0.01908876952843395,0.019639734041414156,0.009320643512245996,0.010424815014644526,0.1287084113680117,0.0406190887260214,0.024675034511331947,0.057541772760892285
Bordeaux,0.008242995002816144,0.005203517073432941,0.007520103732638514,0.006873162958630068,0.006366777982483217,0.007545350414736282,0.02797803431271796,0.016637778256261948,0.04658211929004693,0.012380938223993528,0.011400940372246024,0.01856967607919213
Bristol,0.03776322302856511,0.03733181012224861,0.043809248743713315,0.03333799057516005,0.03811493596156903,0.0485143419269118,0.04068215544313302,0.04618240401841718,0.08950218437626177,0.04277875676526342,0.04248792403652697,0.07801341081139555
Brussels,0.022690025686239713,0.01461061884801489,0.01986679384640736,0.024834514297996553,0.007823513199311268,0.008523790431651931,0.006271137675384732,0.007588236154069961,0.08127123331716503,0.04646105972425882,0.02765772614040234,0.0643693558725502
Copenhagen,0.011753582042278093,0.011509436902623309,0.022304262033469913,0.014685406771698049,0.02369390952402621,0.024595842514335164,0.015147919424354627,0.01998974245579774,0.01647691281453269,0.018075194605670836,0.011245244275078803,0.029658128273212143
Crete,0.005763974375679663,0.0008851574011322656,0.01491131105945874,0.013731595754045416,0.0052779361465759836,0.004703180339719997,0.007032314204099063,0.0031484820729200344,0.029567582010751225,0.006621759623994774,0.013685495015249464,0.008904840129548912
Edinburgh,0.048631467300929175,0.03953293753375414,0.05107316429476685,0.01731374731614454,0.03280810869699742,0.1776030587471947,0.02086752165339842,0.040624635542212094,0.1539878070598071,0.04627439175679788,0.04187490339919503,0.09346765167264941
Euskadi,0.019894726242211964,0.010382529247661722,0.03395838509692216,0.014171150863232996,0.021343328144224,0.02565172616868976,0.013322798765417572,0.012936068612281434,0.07924806571350214,0.03564408402946302,0.029114416411996445,0.06483844704723885
Florence,0.05111056582001462,0.0046518102614461895,0.029894130833399292,0.00908540708369437,0.006772882993163111,0.02174838675570448,0.007465412851510213,0.005641678649053639,0.10432771710623667,0.048933810983766,0.023491537441008917,0.07887888469045956
Geneva,0.003938695410671715,0.004731566986093864,0.005893402167885607,0.007511199707767268,0.008078554456852429,0.009806302091146578,0.004230387305663483,0.005454050479578432,0.04006371373022443,0.02843418449036822,0.007848871241981636,0.01590867945783018
Ghent,0.023222006701348368,0.024957665887650422,0.02272050092980333,0.016120242252984557,0.017635020911375827,0.01881493778370543,0.022294873291914687,0.018960467820638295,0.04948298314856558,0.02389185643169737,0.02017062392875562,0.03790134913508506
Girona,0.01751448999475876,0.0031027600249748867,0.012691513210260318,0.005055360125457686,0.005913525121513765,0.009059937683752217,0.015590625897359704,0.011600278753598618,0.01978781729980199,0.008884287929118917,0.006908278976590856,0.02779559656418773
